28/01/2014 15.48.38,Outcome,25/01/2014,25,No category,Termoventilatore Villasimius
28/01/2014 15.49.57,Outcome,25/01/2014,40,Car Fuel,
28/01/2014 16.23.31,Income,01/01/2014,65,Salary,Akhela
28/01/2014 18.00.01,Outcome,24/01/2014,16,Food & Drink,
28/01/2014 18.00.27,Outcome,21/01/2014,25,Food & Drink,
28/01/2014 18.01.47,Outcome,19/01/2014,"16.5",Food & Drink,
28/01/2014 18.03.38,Outcome,18/01/2014,22,Food & Drink,
28/01/2014 18.03.57,Outcome,11/01/2014,23,Food & Drink,
28/01/2014 18.04.16,Outcome,08/01/2014,15,Personal,Lenti a contatto
28/01/2014 18.04.35,Outcome,06/01/2014,6,Car Fuel,
28/01/2014 18.04.57,Outcome,04/01/2014,16,Food & Drink,
28/01/2014 18.05.17,Outcome,04/01/2014,100,Sport,
28/01/2014 18.05.34,Outcome,04/01/2014,10,Gift,
28/01/2014 18.06.02,Outcome,03/01/2014,34,Gift,
28/01/2014 18.06.19,Outcome,02/01/2014,7,Entertainment,
28/01/2014 18.06.34,Outcome,02/01/2014,10,Food & Drink,
28/01/2014 18.06.51,Outcome,02/01/2014,5,No category,
28/01/2014 18.07.10,Outcome,01/01/2014,20,Car Fuel,
30/01/2014 15.47.33,Outcome,21/01/2014,"19.79",Tech,custodia cellulare
30/01/2014 15.56.29,Outcome,25/01/2014,13,Groceries,
02/02/2014 9.20.35,Outcome,01/02/2014,30,Food & Drink,
02/02/2014 9.21.07,Outcome,01/02/2014,2,Gift,
05/02/2014 1.03.57,Outcome,05/02/2014,"22.5",Food & Drink,
08/02/2014 1.29.08,Outcome,08/02/2014,"11.5",Food & Drink,
08/02/2014 18.45.17,Outcome,08/02/2014,45,Tech,
08/02/2014 18.46.31,Outcome,08/02/2014,10,Gift,
09/02/2014 8.39.45,Outcome,08/02/2014,20,Car Fuel,
09/02/2014 11.34.01,Outcome,09/02/2014,38,Gift,
09/02/2014 11.34.27,Outcome,09/02/2014,20,Clothing,
10/02/2014 10.30.08,Income,10/02/2014,"1484.42",Salary,
10/02/2014 11.16.49,Outcome,04/02/2014,60,Sport,Piscina
14/02/2014 8.03.28,Outcome,13/02/2014,20,Car Fuel,
15/02/2014 10.21.25,Outcome,01/03/2014,100,Travel,"Parziale viaggio Barcellona (Tot: 316, da segnare ancora 216)"
15/02/2014 12.28.25,Outcome,01/04/2014,100,Travel,Parte viaggio barcellona.tot 316
15/02/2014 12.33.38,Outcome,15/02/2014,16,Travel,Parte viaggio Barcellona. Tot 316
15/02/2014 18.12.24,Outcome,01/05/2014,100,Travel,Chiusura spesa viaggio barcellona
15/02/2014 20.07.05,Outcome,15/02/2014,"4.5",Gift,Regalo Valentina
17/02/2014 1.36.52,Outcome,17/02/2014,"18.5",Food & Drink,
18/02/2014 9.35.36,Outcome,18/02/2014,20,Car Fuel,
18/02/2014 14.28.55,Outcome,18/02/2014,"3.33",Tech,Jotpadx
19/02/2014 19.28.09,Outcome,19/02/2014,"4.7",Personal,Lenti a contatto
19/02/2014 19.29.38,Outcome,19/02/2014,"19.9",Shopping,Dottor sleep
23/02/2014 8.58.57,Outcome,22/02/2014,"16.25",Food & Drink,
24/02/2014 2.08.33,Outcome,23/02/2014,20,Car Fuel,
24/02/2014 2.09.13,Outcome,23/02/2014,"5.8",Gifts,
27/02/2014 23.48.31,Outcome,27/02/2014,20,Car Fuel,
27/02/2014 23.49.24,Outcome,01/03/2014,60,Sport,Piscina
28/02/2014 0.33.17,Outcome,28/02/2014,16,Food & Drink,
01/03/2014 17.19.20,Outcome,01/03/2014,34,Gifts,
02/03/2014 23.09.33,Outcome,02/03/2014,20,Car Fuel,
02/03/2014 23.10.17,Outcome,02/03/2014,"19.9",Clothing,Maglietta
02/03/2014 23.20.40,Outcome,14/02/2014,24,Food & Drink,Picana's
04/03/2014 23.45.08,Outcome,04/03/2014,22,Food & Drink,
07/03/2014 20.17.50,Outcome,07/03/2014,3,Groceries,Bagnoschiuma
09/03/2014 9.19.52,Outcome,08/03/2014,20,Car Fuel,
10/03/2014 7.48.24,Outcome,08/03/2014,90,Tech,Nexus 7
10/03/2014 9.47.17,Outcome,10/03/2014,"7.85",Personal,Libro di tedesco
10/03/2014 22.13.51,Outcome,10/03/2014,70,Health,Fisiatra
10/03/2014 22.19.55,Income,10/03/2014,"1475.07",Salary,Akhela
13/03/2014 11.21.19,Outcome,13/03/2014,40,Car Fuel,
15/03/2014 19.21.00,Outcome,15/03/2014,"14.9",Sport,Tavoletta
16/03/2014 10.28.41,Outcome,15/03/2014,7,Entertainment,"Cinema ""Lei"""
16/03/2014 10.29.05,Outcome,15/03/2014,20,Food & Drink,
17/03/2014 9.51.32,Outcome,17/03/2014,60,Health,Visita back school 1
17/03/2014 10.50.21,Outcome,17/03/2014,"5.42",Personal,Carta d'identità
19/03/2014 9.41.47,Outcome,18/03/2014,"7.43",Health,cerotti per il naso
23/03/2014 11.32.24,Outcome,22/03/2014,25,Food & Drink,Pizze
23/03/2014 11.33.12,Outcome,23/03/2014,"6.5",Gifts,Vino
24/03/2014 8.57.19,Outcome,24/03/2014,40,Car Fuel,
26/03/2014 17.44.15,Outcome,25/03/2014,8,Personal,Lenti a contatto
28/03/2014 19.21.10,Outcome,28/03/2014,26,Health,Fitball
30/03/2014 13.03.25,Outcome,29/03/2014,10,Food & Drink,
05/04/2014 13.40.27,Outcome,04/04/2014,50,Car Fuel,
05/04/2014 13.40.47,Outcome,05/04/2014,"11.5",Food & Drink,
05/04/2014 14.16.14,Outcome,05/04/2014,"7.2",Food & Drink,
09/04/2014 19.23.22,Outcome,09/04/2014,30,Health,Disco sit
09/04/2014 20.04.30,Outcome,09/04/2014,5,Entertainment,Cinema
09/04/2014 20.05.00,Outcome,09/04/2014,11,Food & Drink,Wok
11/04/2014 19.06.35,Outcome,25/03/2014,50,Health,Back school
11/04/2014 19.07.02,Outcome,03/04/2014,40,Health,Back school
11/04/2014 19.07.48,Outcome,08/04/2014,40,Health,Back school
11/04/2014 19.09.08,Income,09/04/2014,"1481.14",Salary,Akhela
14/04/2014 0.19.15,Outcome,13/04/2014,16,Food & Drink,
15/04/2014 7.14.58,Outcome,14/04/2014,50,Car Fuel,
15/04/2014 18.47.25,Outcome,15/04/2014,40,Health,
19/04/2014 19.43.07,Outcome,19/04/2014,"27.85",Groceries,
20/04/2014 17.28.09,Outcome,19/04/2014,"17.5",Food & Drink,
22/04/2014 19.21.55,Outcome,22/04/2014,40,Health,Schiena
22/04/2014 19.22.14,Outcome,16/04/2014,100,Gifts,
26/04/2014 16.02.10,Outcome,26/04/2014,9,Health,Colluttorio afta
27/04/2014 8.30.34,Outcome,26/04/2014,50,Car Fuel,
27/04/2014 8.32.19,Outcome,26/04/2014,30,Clothing,maglione
27/04/2014 8.32.35,Outcome,26/04/2014,10,Clothing,boxer
27/04/2014 8.32.56,Outcome,26/04/2014,15,Clothing,Cintura
27/04/2014 8.33.27,Outcome,26/04/2014,10,Travel,Pesa valigia
27/04/2014 8.34.28,Outcome,26/04/2014,"5.8",Food & Drink,
27/04/2014 8.40.46,Outcome,27/04/2014,30,Phone,Ricarica
27/04/2014 8.34.32,Outcome,26/04/2014,"5.8",Food & Drink,
08/05/2014 18.50.15,Outcome,08/05/2014,20,Car Fuel,
08/05/2014 23.04.53,Outcome,08/05/2014,"7.25",Personal,Tao of the jeet kune do
